ENSG00000028137	ENSRNOG00000063690	ENSMUSG00000026072	ENSSSCG00000026041	ENSDARG00000058445	FBgn0011294	AT1G02470	
ENSG00000048707	ENSRNOG00000012609	ENSMUSG00000070942	ENSSSCG00000039049	ENSDARG00000063169	FBgn0031331	AT1G02475	
ENSG00000162496	ENSRNOG00000029608	ENSMUSG00000026069	ENSSSCG00000004163	ENSDARG00000037760	FBgn0053923	AT1G02490	
ENSG00000204518	ENSRNOG00000013323	ENSMUSG00000026070	ENSSSCG00000004164	ENSDARG00000017834	FBgn0053922	AT1G02500	
ENSG00000188984	ENSRNOG00000021478	ENSMUSG00000026068	ENSSSCG00000004165	ENSDARG00000074282	FBgn0026141	AT1G02510	
ENSG00000157330	ENSRNOG00000021442	ENSMUSG00000026065	ENSSSCG00000004166	ENSDARG00000074372	FBgn0031332	AT1G02520	
ENSG00000116726	ENSRNOG00000063892	ENSMUSG00000026062	ENSSSCG00000004167	ENSDARG00000104203	FBgn0031333	AT1G02530	
ENSG00000116721	ENSRNOG00000013364	ENSMUSG00000041945	ENSSSCG00000041469	ENSDARG00000033852	FBgn0051924	AT1G02540	
ENSG00000239810	ENSRNOG00000014004	ENSMUSG00000079588	ENSSSCG00000004169	ENSDARG00000037654	FBgn0031335	AT1G02550	
ENSG00000179172	ENSRNOG00000014190	ENSMUSG00000045515	ENSSSCG00000028115	ENSDARG00000037652	FBgn0051659	AT1G02560	
ENSG00000120952	ENSRNOG00000014240	ENSMUSG00000060679	ENSSSCG00000004170	ENSDARG00000037646	FBgn0053126	AT1G02570	
ENSG00000243073	ENSRNOG00000063960	ENSMUSG00000041907	ENSSSCG00000021443	ENSDARG00000032795	FBgn0031337	AT1G02575	
ENSG00000187545	ENSRNOG00000070696	ENSMUSG00000070939	ENSSSCG00000004172	ENSDARG00000018263	FBgn0002543	AT1G02580	
ENSG00000204510	ENSRNOG00000042944	ENSMUSG00000010290	ENSSSCG00000022387	ENSDARG00000077542	FBgn0263320	AT1G02590	
ENSG00000232423	ENSRNOG00000011568	ENSMUSG00000008136	ENSSSCG00000033258	ENSDARG00000070490	FBgn0263321	AT1G02610	
ENSG00000274764	ENSRNOG00000011588	ENSMUSG00000066877	ENSSSCG00000047444	ENSDARG00000015678	FBgn0051928	AT1G02620	
ENSG00000277058	ENSRNOG00000011622	ENSMUSG00000026051	ENSSSCG00000034139	ENSDARG00000079043	FBgn0053128	AT1G02630	
ENSG00000229571	ENSRNOG00000068028	ENSMUSG00000057363	ENSSSCG00000004177	ENSDARG00000076174	FBgn0051926	AT1G02640	
ENSG00000275774	ENSRNOG00000042309	ENSMUSG00000041763	ENSSSCG00000004178	ENSDARG00000037647	FBgn0051661	AT1G02650	
ENSG00000280267	ENSRNOG00000012324	ENSMUSG00000047343	ENSSSCG00000004179	ENSDARG00000008969	FBgn0031343	AT1G02660	
ENSG00000179412	ENSRNOG00000061741	ENSMUSG00000026049	ENSSSCG00000004180	ENSDARG00000020741	FBgn0031344	AT1G02670	
ENSG00000204505	ENSRNOG00000012581	ENSMUSG00000026047	ENSSSCG00000004181	ENSDARG00000104660	FBgn0031345	AT1G02680	
ENSG00000279169	ENSRNOG00000063986	ENSMUSG00000041684	ENSSSCG00000004183	ENSDARG00000096594	FBgn0001174	AT1G02690	
ENSG00000279804	ENSRNOG00000069113	ENSMUSG00000026048	ENSSSCG00000037870	ENSDARG00000077652	FBgn0026398	AT1G02700	
ENSG00000270601	ENSRNOG00000028357	ENSMUSG00000046828	ENSSSCG00000004184	ENSDARG00000079452	FBgn0026397	AT1G02705	
ENSG00000182330	ENSRNOG00000066093	ENSMUSG00000056870	ENSSSCG00000037590	ENSDARG00000089943	FBgn0261509	AT1G02710	
ENSG00000237700	ENSRNOG00000013331	ENSMUSG00000026043	ENSSSCG00000040065	ENSDARG00000077533	FBgn0031347	AT1G02720	
