ENSG00000204219	ENSMUSG00000015222	FBgn0000490	AT1G03790	
ENSG00000088280	ENSMUSG00000055567	FBgn0264978	AT1G03800	
ENSG00000007968	ENSMUSG00000026005	FBgn0011818	AT1G03810	
ENSG00000117318	ENSMUSG00000026004	FBgn0031430	AT1G03820	
ENSG00000142676	ENSMUSG00000026003	FBgn0031431	AT1G03830	
ENSG00000011007	ENSMUSG00000061816	FBgn0031432	AT1G03840	
ENSG00000057757	ENSMUSG00000026000	FBgn0041337	AT1G03850	
ENSG00000011009	ENSMUSG00000025991	FBgn0031434	AT1G03860	
ENSG00000117308	ENSMUSG00000062209	FBgn0031435	AT1G03870	
ENSG00000117305	ENSMUSG00000025997	FBgn0031436	AT1G03880	
ENSG00000179163	ENSMUSG00000053153	FBgn0031437	AT1G03890	
ENSG00000188822	ENSMUSG00000045648	FBgn0026479	AT1G03900	
ENSG00000189266	ENSMUSG00000026196	FBgn0250835	AT1G03905	
ENSG00000188529	ENSMUSG00000050296	FBgn0031440	AT1G03910	
ENSG00000142661	ENSMUSG00000026192	FBgn0263322	AT1G03920	
ENSG00000142677	ENSMUSG00000026193	FBgn0031441	AT1G03930	
ENSG00000185436	ENSMUSG00000039395	FBgn0264433	AT1G03940	
ENSG00000158055	ENSMUSG00000026189	FBgn0053125	AT1G03950	
ENSG00000001460	ENSMUSG00000026188	FBgn0031442	AT1G03960	
ENSG00000001461	ENSMUSG00000026187	FBgn0026395	AT1G03970	
ENSG00000117602	ENSMUSG00000039372	FBgn0031443	AT1G03980	
ENSG00000184454	ENSMUSG00000039354	FBgn0031444	AT1G03982	
ENSG00000133226	ENSMUSG00000039342	FBgn0041248	AT1G03990	
ENSG00000169504	ENSMUSG00000046330	FBgn0051690	AT1G04000	
ENSG00000020633	ENSMUSG00000039323	FBgn0031446	AT1G04010	
ENSG00000117614	ENSMUSG00000026185	FBgn0031449	AT1G04020	
ENSG00000117616	ENSMUSG00000026182	FBgn0031450	AT1G04030	
ENSG00000187010	ENSMUSG00000055322	FBgn0031451	AT1G04040	
ENSG00000183726	ENSMUSG00000061815	FBgn0031452	AT1G04050	
ENSG00000188672	ENSMUSG00000026180	FBgn0250906	AT1G04070	
ENSG00000204178	ENSMUSG00000048480	FBgn0031453	AT1G04080	
ENSG00000157978	ENSMUSG00000006304	FBgn0031456	AT1G04090	
ENSG00000117643	ENSMUSG00000064272	FBgn0031457	AT1G04100	
ENSG00000162430	ENSMUSG00000006299	FBgn0031458	AT1G04105	
ENSG00000117640	ENSMUSG00000026179	FBgn0026324	AT1G04110	
ENSG00000127423	ENSMUSG00000006301	FBgn0028398	AT1G04120	
ENSG00000182749	ENSMUSG00000073650	FBgn0019830	AT1G04130	
ENSG00000117632	ENSMUSG00000026177	FBgn0031459	AT1G04140	
ENSG00000158006	ENSMUSG00000026176	FBgn0031460	AT1G04150	
ENSG00000158008	ENSMUSG00000026175	FBgn0004242	AT1G04160	
ENSG00000158014	ENSMUSG00000033364	FBgn0031461	AT1G04170	
ENSG00000158022	ENSMUSG00000026174	FBgn0031462	AT1G04180	
ENSG00000175087	ENSMUSG00000026173	FBgn0031463	AT1G04190	
ENSG00000197245	ENSMUSG00000026135	FBgn0283531	AT1G04200	
ENSG00000282872	ENSMUSG00000026172	FBgn0031466	AT1G04210	
ENSG00000236782	ENSMUSG00000026171	FBgn0031467	AT1G04220	
ENSG00000142684	ENSMUSG00000033276	FBgn0031468	AT1G04230	
ENSG00000142675	ENSMUSG00000033257	FBgn0031469	AT1G04240	
ENSG00000188782	ENSMUSG00000026170	FBgn0031470	AT1G04250	
